avId,avName,path,decidedAtNode,mappedReferences,tag-only,tag-only_rationale,tag+snapshots,tag+snapshots_rationale,tag+reverify,tag+reverify_rationale
AV-801,Change Ethos,AV-000 > AV-001 > AV-300 > AV-302 > AV-801,AV-302,3,out-of-scope,,out-of-scope-with-record,"As AV-301. Maintainer-level injection into sources is recorded, not detected.",out-of-scope,
AV-700,Compromise Maintainer System,AV-000 > AV-001 > AV-300 > AV-302 > AV-700,AV-302,7,out-of-scope,,out-of-scope-with-record,"As AV-301. Maintainer-level injection into sources is recorded, not detected.",out-of-scope,
AV-701,Exploit Weak Configuration,AV-000 > AV-001 > AV-300 > AV-302 > AV-700 > AV-701,AV-302,4,out-of-scope,,out-of-scope-with-record,"As AV-301. Maintainer-level injection into sources is recorded, not detected.",out-of-scope,
AV-702,Exploit Vulnerabilities,AV-000 > AV-001 > AV-300 > AV-302 > AV-700 > AV-702,AV-302,27,out-of-scope,,out-of-scope-with-record,"As AV-301. Maintainer-level injection into sources is recorded, not detected.",out-of-scope,
AV-703,Infect through Malicious Component,AV-000 > AV-001 > AV-300 > AV-302 > AV-700 > AV-703,AV-302,10,out-of-scope,,out-of-scope-with-record,"As AV-301. Maintainer-level injection into sources is recorded, not detected.",out-of-scope,
AV-303,Tamper with Version Control System,AV-000 > AV-001 > AV-300 > AV-303,AV-303,0,detectable-passive,"A moved tag still contradicts the anchored tree, so a consumer who verifies what they fetched sees the mismatch. Nothing looks for it, though: detection waits on someone happening to check, and the window is unbounded.",detectable-passive,"Snapshots anchor the production branch, not existing tags, so they add nothing here. Identical to the baseline.",detectable,Re-verification walks anchored tags on a schedule and flags a moved one without waiting for a consumer. Demonstrated on three live networks in tag-retargeting.md. Detection latency becomes the check interval.
AV-600,Compromise User (Project Maintainer/Administrator),AV-000 > AV-001 > AV-300 > AV-303 > AV-600,AV-303,0,detectable-passive,"A moved tag still contradicts the anchored tree, so a consumer who verifies what they fetched sees the mismatch. Nothing looks for it, though: detection waits on someone happening to check, and the window is unbounded.",detectable-passive,"Snapshots anchor the production branch, not existing tags, so they add nothing here. Identical to the baseline.",detectable,Re-verification walks anchored tags on a schedule and flags a moved one without waiting for a consumer. Demonstrated on three live networks in tag-retargeting.md. Detection latency becomes the check interval.
AV-601,Bribe or Blackmail Legitimate User,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-601,AV-303,1,detectable-passive,"A moved tag still contradicts the anchored tree, so a consumer who verifies what they fetched sees the mismatch. Nothing looks for it, though: detection waits on someone happening to check, and the window is unbounded.",detectable-passive,"Snapshots anchor the production branch, not existing tags, so they add nothing here. Identical to the baseline.",detectable,Re-verification walks anchored tags on a schedule and flags a moved one without waiting for a consumer. Demonstrated on three live networks in tag-retargeting.md. Detection latency becomes the check interval.
AV-602,Take-over Legitimate Account,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-602,AV-303,10,detectable-passive,"A moved tag still contradicts the anchored tree, so a consumer who verifies what they fetched sees the mismatch. Nothing looks for it, though: detection waits on someone happening to check, and the window is unbounded.",detectable-passive,"Snapshots anchor the production branch, not existing tags, so they add nothing here. Identical to the baseline.",detectable,Re-verification walks anchored tags on a schedule and flags a moved one without waiting for a consumer. Demonstrated on three live networks in tag-retargeting.md. Detection latency becomes the check interval.
AV-603,Reuse of Compromised Credentials,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-602 > AV-603,AV-303,20,detectable-passive,"A moved tag still contradicts the anchored tree, so a consumer who verifies what they fetched sees the mismatch. Nothing looks for it, though: detection waits on someone happening to check, and the window is unbounded.",detectable-passive,"Snapshots anchor the production branch, not existing tags, so they add nothing here. Identical to the baseline.",detectable,Re-verification walks anchored tags on a schedule and flags a moved one without waiting for a consumer. Demonstrated on three live networks in tag-retargeting.md. Detection latency becomes the check interval.
AV-604,Bruteforce,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-602 > AV-604,AV-303,4,detectable-passive,"A moved tag still contradicts the anchored tree, so a consumer who verifies what they fetched sees the mismatch. Nothing looks for it, though: detection waits on someone happening to check, and the window is unbounded.",detectable-passive,"Snapshots anchor the production branch, not existing tags, so they add nothing here. Identical to the baseline.",detectable,Re-verification walks anchored tags on a schedule and flags a moved one without waiting for a consumer. Demonstrated on three live networks in tag-retargeting.md. Detection latency becomes the check interval.
AV-605,Reuse of Leaked API Tokens,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-602 > AV-605,AV-303,5,detectable-passive,"A moved tag still contradicts the anchored tree, so a consumer who verifies what they fetched sees the mismatch. Nothing looks for it, though: detection waits on someone happening to check, and the window is unbounded.",detectable-passive,"Snapshots anchor the production branch, not existing tags, so they add nothing here. Identical to the baseline.",detectable,Re-verification walks anchored tags on a schedule and flags a moved one without waiting for a consumer. Demonstrated on three live networks in tag-retargeting.md. Detection latency becomes the check interval.
AV-606,Social Engineering to Obtain Credentials,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-602 > AV-606,AV-303,1,detectable-passive,"A moved tag still contradicts the anchored tree, so a consumer who verifies what they fetched sees the mismatch. Nothing looks for it, though: detection waits on someone happening to check, and the window is unbounded.",detectable-passive,"Snapshots anchor the production branch, not existing tags, so they add nothing here. Identical to the baseline.",detectable,Re-verification walks anchored tags on a schedule and flags a moved one without waiting for a consumer. Demonstrated on three live networks in tag-retargeting.md. Detection latency becomes the check interval.
AV-607,Reuse of Existing Session,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-602 > AV-607,AV-303,3,detectable-passive,"A moved tag still contradicts the anchored tree, so a consumer who verifies what they fetched sees the mismatch. Nothing looks for it, though: detection waits on someone happening to check, and the window is unbounded.",detectable-passive,"Snapshots anchor the production branch, not existing tags, so they add nothing here. Identical to the baseline.",detectable,Re-verification walks anchored tags on a schedule and flags a moved one without waiting for a consumer. Demonstrated on three live networks in tag-retargeting.md. Detection latency becomes the check interval.
AV-608,Resurrect Expired Domain Associated With Legitimate Account,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-602 > AV-608,AV-303,3,detectable-passive,"A moved tag still contradicts the anchored tree, so a consumer who verifies what they fetched sees the mismatch. Nothing looks for it, though: detection waits on someone happening to check, and the window is unbounded.",detectable-passive,"Snapshots anchor the production branch, not existing tags, so they add nothing here. Identical to the baseline.",detectable,Re-verification walks anchored tags on a schedule and flags a moved one without waiting for a consumer. Demonstrated on three live networks in tag-retargeting.md. Detection latency becomes the check interval.
AV-700,Compromise Version Control System,AV-000 > AV-001 > AV-300 > AV-303 > AV-700,AV-303,7,detectable-passive,"A moved tag still contradicts the anchored tree, so a consumer who verifies what they fetched sees the mismatch. Nothing looks for it, though: detection waits on someone happening to check, and the window is unbounded.",detectable-passive,"Snapshots anchor the production branch, not existing tags, so they add nothing here. Identical to the baseline.",detectable,Re-verification walks anchored tags on a schedule and flags a moved one without waiting for a consumer. Demonstrated on three live networks in tag-retargeting.md. Detection latency becomes the check interval.
AV-701,Exploit Weak Configuration,AV-000 > AV-001 > AV-300 > AV-303 > AV-700 > AV-701,AV-303,4,detectable-passive,"A moved tag still contradicts the anchored tree, so a consumer who verifies what they fetched sees the mismatch. Nothing looks for it, though: detection waits on someone happening to check, and the window is unbounded.",detectable-passive,"Snapshots anchor the production branch, not existing tags, so they add nothing here. Identical to the baseline.",detectable,Re-verification walks anchored tags on a schedule and flags a moved one without waiting for a consumer. Demonstrated on three live networks in tag-retargeting.md. Detection latency becomes the check interval.
AV-702,Exploit Vulnerabilities,AV-000 > AV-001 > AV-300 > AV-303 > AV-700 > AV-702,AV-303,27,detectable-passive,"A moved tag still contradicts the anchored tree, so a consumer who verifies what they fetched sees the mismatch. Nothing looks for it, though: detection waits on someone happening to check, and the window is unbounded.",detectable-passive,"Snapshots anchor the production branch, not existing tags, so they add nothing here. Identical to the baseline.",detectable,Re-verification walks anchored tags on a schedule and flags a moved one without waiting for a consumer. Demonstrated on three live networks in tag-retargeting.md. Detection latency becomes the check interval.
AV-703,Infect through Malicious Component,AV-000 > AV-001 > AV-300 > AV-303 > AV-700 > AV-703,AV-303,10,detectable-passive,"A moved tag still contradicts the anchored tree, so a consumer who verifies what they fetched sees the mismatch. Nothing looks for it, though: detection waits on someone happening to check, and the window is unbounded.",detectable-passive,"Snapshots anchor the production branch, not existing tags, so they add nothing here. Identical to the baseline.",detectable,Re-verification walks anchored tags on a schedule and flags a moved one without waiting for a consumer. Demonstrated on three live networks in tag-retargeting.md. Detection latency becomes the check interval.
AV-400,Inject During the Build of Legitimate Package,AV-000 > AV-001 > AV-400,AV-400,10,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-401,Run Malicious Build,AV-000 > AV-001 > AV-400 > AV-401,AV-400,10,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-402,Tamper Build Job as Maintainer,AV-000 > AV-001 > AV-400 > AV-402,AV-400,5,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-601,Bribe or Blackmail Legitimate User,AV-000 > AV-001 > AV-400 > AV-402 > AV-601,AV-400,1,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-602,Take-over Legitimate Account,AV-000 > AV-001 > AV-400 > AV-402 > AV-602,AV-400,10,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-603,Reuse of Compromised Credentials,AV-000 > AV-001 > AV-400 > AV-402 > AV-602 > AV-603,AV-400,20,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-604,Bruteforce,AV-000 > AV-001 > AV-400 > AV-402 > AV-602 > AV-604,AV-400,4,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-605,Reuse of Leaked API Tokens,AV-000 > AV-001 > AV-400 > AV-402 > AV-602 > AV-605,AV-400,5,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-606,Social Engineering to Obtain Credentials,AV-000 > AV-001 > AV-400 > AV-402 > AV-602 > AV-606,AV-400,1,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-607,Reuse of Existing Session,AV-000 > AV-001 > AV-400 > AV-402 > AV-602 > AV-607,AV-400,3,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-608,Resurrect Expired Domain Associated With Legitimate Account,AV-000 > AV-001 > AV-400 > AV-402 > AV-602 > AV-608,AV-400,3,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-800,Become a Maintainer,AV-000 > AV-001 > AV-400 > AV-402 > AV-800,AV-400,9,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-801,Change Ethos,AV-000 > AV-001 > AV-400 > AV-402 > AV-801,AV-400,3,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-700,Compromise Maintainer System,AV-000 > AV-001 > AV-400 > AV-402 > AV-700,AV-400,7,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-701,Exploit Weak Configuration,AV-000 > AV-001 > AV-400 > AV-402 > AV-700 > AV-701,AV-400,4,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-702,Exploit Vulnerabilities,AV-000 > AV-001 > AV-400 > AV-402 > AV-700 > AV-702,AV-400,27,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-703,Infect through Malicious Component,AV-000 > AV-001 > AV-400 > AV-402 > AV-700 > AV-703,AV-400,10,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-403,Tamper with Exposed Build System,AV-000 > AV-001 > AV-400 > AV-403,AV-400,3,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-600,Compromise User (Project Maintainer/Administrator),AV-000 > AV-001 > AV-400 > AV-403 > AV-600,AV-400,0,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-601,Bribe or Blackmail Legitimate User,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-601,AV-400,1,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-602,Take-over Legitimate Account,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-602,AV-400,10,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-603,Reuse of Compromised Credentials,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-602 > AV-603,AV-400,20,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-604,Bruteforce,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-602 > AV-604,AV-400,4,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-605,Reuse of Leaked API Tokens,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-602 > AV-605,AV-400,5,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-606,Social Engineering to Obtain Credentials,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-602 > AV-606,AV-400,1,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-607,Reuse of Existing Session,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-602 > AV-607,AV-400,3,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-608,Resurrect Expired Domain Associated With Legitimate Account,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-602 > AV-608,AV-400,3,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-700,Compromise Build System,AV-000 > AV-001 > AV-400 > AV-403 > AV-700,AV-400,7,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-701,Exploit Weak Configuration,AV-000 > AV-001 > AV-400 > AV-403 > AV-700 > AV-701,AV-400,4,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-702,Exploit Vulnerabilities,AV-000 > AV-001 > AV-400 > AV-403 > AV-700 > AV-702,AV-400,27,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-703,Infect through Malicious Component,AV-000 > AV-001 > AV-400 > AV-403 > AV-700 > AV-703,AV-400,10,detectable-conditional,,detectable-conditional,,detectable-conditional,
AV-500,Distribute Malicious Version of Legitimate Package,AV-000 > AV-001 > AV-500,,26,internal,,internal,,internal,
AV-501,Dangling Reference,AV-000 > AV-001 > AV-500 > AV-501,AV-501,10,out-of-scope,,out-of-scope,,out-of-scope,
AV-502,Mask Legitimate Package,AV-000 > AV-001 > AV-500 > AV-502,AV-502,1,detectable,,detectable,,detectable,
AV-506,MITM Attack,AV-000 > AV-001 > AV-500 > AV-502 > AV-506,AV-502,3,detectable,,detectable,,detectable,
AV-507,DNS Cache Poisoning,AV-000 > AV-001 > AV-500 > AV-502 > AV-507,AV-502,1,detectable,,detectable,,detectable,
AV-508,Tamper Legitimate URL,AV-000 > AV-001 > AV-500 > AV-502 > AV-508,AV-502,2,detectable,,detectable,,detectable,
AV-509,Abuse Dependency Resolution Mechanism,AV-000 > AV-001 > AV-500 > AV-502 > AV-509,AV-502,8,detectable,,detectable,,detectable,
AV-503,Prevent Update to Non-Vulnerable Version,AV-000 > AV-001 > AV-500 > AV-503,AV-503,5,partial,,partial,,partial,
AV-504,Distribute as Package Maintainer,AV-000 > AV-001 > AV-500 > AV-504,AV-504,2,detectable,,detectable,,detectable,
AV-601,Bribe or Blackmail Legitimate User,AV-000 > AV-001 > AV-500 > AV-504 > AV-601,AV-504,1,detectable,,detectable,,detectable,
AV-602,Take-over Legitimate Account,AV-000 > AV-001 > AV-500 > AV-504 > AV-602,AV-504,10,detectable,,detectable,,detectable,
AV-603,Reuse of Compromised Credentials,AV-000 > AV-001 > AV-500 > AV-504 > AV-602 > AV-603,AV-504,20,detectable,,detectable,,detectable,
AV-604,Bruteforce,AV-000 > AV-001 > AV-500 > AV-504 > AV-602 > AV-604,AV-504,4,detectable,,detectable,,detectable,
AV-605,Reuse of Leaked API Tokens,AV-000 > AV-001 > AV-500 > AV-504 > AV-602 > AV-605,AV-504,5,detectable,,detectable,,detectable,
AV-606,Social Engineering to Obtain Credentials,AV-000 > AV-001 > AV-500 > AV-504 > AV-602 > AV-606,AV-504,1,detectable,,detectable,,detectable,
AV-607,Reuse of Existing Session,AV-000 > AV-001 > AV-500 > AV-504 > AV-602 > AV-607,AV-504,3,detectable,,detectable,,detectable,
AV-608,Resurrect Expired Domain Associated With Legitimate Account,AV-000 > AV-001 > AV-500 > AV-504 > AV-602 > AV-608,AV-504,3,detectable,,detectable,,detectable,
AV-800,Become a Maintainer,AV-000 > AV-001 > AV-500 > AV-504 > AV-800,AV-504,9,detectable,,detectable,,detectable,
AV-801,Change Ethos,AV-000 > AV-001 > AV-500 > AV-504 > AV-801,AV-504,3,detectable,,detectable,,detectable,
AV-700,Compromise Maintainer System,AV-000 > AV-001 > AV-500 > AV-504 > AV-700,AV-504,7,detectable,,detectable,,detectable,
AV-701,Exploit Weak Configuration,AV-000 > AV-001 > AV-500 > AV-504 > AV-700 > AV-701,AV-504,4,detectable,,detectable,,detectable,
AV-702,Exploit Vulnerabilities,AV-000 > AV-001 > AV-500 > AV-504 > AV-700 > AV-702,AV-504,27,detectable,,detectable,,detectable,
AV-703,Infect through Malicious Component,AV-000 > AV-001 > AV-500 > AV-504 > AV-700 > AV-703,AV-504,10,detectable,,detectable,,detectable,
AV-505,Inject into Hosting System,AV-000 > AV-001 > AV-500 > AV-505,AV-505,4,detectable,,detectable,,detectable,
AV-600,Compromise User (Project Maintainer/Administrator),AV-000 > AV-001 > AV-500 > AV-505 > AV-600,AV-505,0,detectable,,detectable,,detectable,
AV-601,Bribe or Blackmail Legitimate User,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-601,AV-505,1,detectable,,detectable,,detectable,
AV-602,Take-over Legitimate Account,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-602,AV-505,10,detectable,,detectable,,detectable,
AV-603,Reuse of Compromised Credentials,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-602 > AV-603,AV-505,20,detectable,,detectable,,detectable,
AV-604,Bruteforce,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-602 > AV-604,AV-505,4,detectable,,detectable,,detectable,
AV-605,Reuse of Leaked API Tokens,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-602 > AV-605,AV-505,5,detectable,,detectable,,detectable,
AV-606,Social Engineering to Obtain Credentials,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-602 > AV-606,AV-505,1,detectable,,detectable,,detectable,
AV-607,Reuse of Existing Session,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-602 > AV-607,AV-505,3,detectable,,detectable,,detectable,
AV-608,Resurrect Expired Domain Associated With Legitimate Account,AV-000 > AV-001 > AV-500 > AV-505 > AV-600 > AV-602 > AV-608,AV-505,3,detectable,,detectable,,detectable,
AV-700,Compromise Hosting System,AV-000 > AV-001 > AV-500 > AV-505 > AV-700,AV-505,7,detectable,,detectable,,detectable,
AV-701,Exploit Weak Configuration,AV-000 > AV-001 > AV-500 > AV-505 > AV-700 > AV-701,AV-505,4,detectable,,detectable,,detectable,
AV-702,Exploit Vulnerabilities,AV-000 > AV-001 > AV-500 > AV-505 > AV-700 > AV-702,AV-505,27,detectable,,detectable,,detectable,
AV-703,Infect through Malicious Component,AV-000 > AV-001 > AV-500 > AV-505 > AV-700 > AV-703,AV-505,10,detectable,,detectable,,detectable,
