avId,avName,depth,path,classification,basis,decidedAtNode,rationale,mappedReferences
AV-309,Hide in Generated/Compiled/Minified Code,5,AV-000 > AV-001 > AV-300 > AV-301 > AV-305 > AV-309,out-of-scope,pre-anchor,AV-301,Malicious code merged into the source before the release tag is inside the tree the anchor commits to. The anchor records it faithfully.,3
AV-302,Contribute as Maintainer,3,AV-000 > AV-001 > AV-300 > AV-302,out-of-scope,pre-anchor,AV-302,"Acting as or impersonating a maintainer to inject into sources places the code inside the anchored tree. Where the same credential compromise reaches the anchoring key, the vector falls under the named blind spot instead, which is also out of scope.",4
AV-601,Bribe or Blackmail Legitimate User,4,AV-000 > AV-001 > AV-300 > AV-302 > AV-601,out-of-scope,pre-anchor,AV-302,"Acting as or impersonating a maintainer to inject into sources places the code inside the anchored tree. Where the same credential compromise reaches the anchoring key, the vector falls under the named blind spot instead, which is also out of scope.",1
AV-602,Take-over Legitimate Account,4,AV-000 > AV-001 > AV-300 > AV-302 > AV-602,out-of-scope,pre-anchor,AV-302,"Acting as or impersonating a maintainer to inject into sources places the code inside the anchored tree. Where the same credential compromise reaches the anchoring key, the vector falls under the named blind spot instead, which is also out of scope.",10
AV-603,Reuse of Compromised Credentials,5,AV-000 > AV-001 > AV-300 > AV-302 > AV-602 > AV-603,out-of-scope,pre-anchor,AV-302,"Acting as or impersonating a maintainer to inject into sources places the code inside the anchored tree. Where the same credential compromise reaches the anchoring key, the vector falls under the named blind spot instead, which is also out of scope.",20
AV-604,Bruteforce,5,AV-000 > AV-001 > AV-300 > AV-302 > AV-602 > AV-604,out-of-scope,pre-anchor,AV-302,"Acting as or impersonating a maintainer to inject into sources places the code inside the anchored tree. Where the same credential compromise reaches the anchoring key, the vector falls under the named blind spot instead, which is also out of scope.",4
AV-605,Reuse of Leaked API Tokens,5,AV-000 > AV-001 > AV-300 > AV-302 > AV-602 > AV-605,out-of-scope,pre-anchor,AV-302,"Acting as or impersonating a maintainer to inject into sources places the code inside the anchored tree. Where the same credential compromise reaches the anchoring key, the vector falls under the named blind spot instead, which is also out of scope.",5
AV-606,Social Engineering to Obtain Credentials,5,AV-000 > AV-001 > AV-300 > AV-302 > AV-602 > AV-606,out-of-scope,pre-anchor,AV-302,"Acting as or impersonating a maintainer to inject into sources places the code inside the anchored tree. Where the same credential compromise reaches the anchoring key, the vector falls under the named blind spot instead, which is also out of scope.",1
AV-607,Reuse of Existing Session,5,AV-000 > AV-001 > AV-300 > AV-302 > AV-602 > AV-607,out-of-scope,pre-anchor,AV-302,"Acting as or impersonating a maintainer to inject into sources places the code inside the anchored tree. Where the same credential compromise reaches the anchoring key, the vector falls under the named blind spot instead, which is also out of scope.",3
AV-608,Resurrect Expired Domain Associated With Legitimate Account,5,AV-000 > AV-001 > AV-300 > AV-302 > AV-602 > AV-608,out-of-scope,pre-anchor,AV-302,"Acting as or impersonating a maintainer to inject into sources places the code inside the anchored tree. Where the same credential compromise reaches the anchoring key, the vector falls under the named blind spot instead, which is also out of scope.",3
AV-800,Become a Maintainer,4,AV-000 > AV-001 > AV-300 > AV-302 > AV-800,out-of-scope,pre-anchor,AV-302,"Acting as or impersonating a maintainer to inject into sources places the code inside the anchored tree. Where the same credential compromise reaches the anchoring key, the vector falls under the named blind spot instead, which is also out of scope.",9
AV-801,Change Ethos,4,AV-000 > AV-001 > AV-300 > AV-302 > AV-801,out-of-scope,pre-anchor,AV-302,"Acting as or impersonating a maintainer to inject into sources places the code inside the anchored tree. Where the same credential compromise reaches the anchoring key, the vector falls under the named blind spot instead, which is also out of scope.",3
AV-700,Compromise Maintainer System,4,AV-000 > AV-001 > AV-300 > AV-302 > AV-700,out-of-scope,pre-anchor,AV-302,"Acting as or impersonating a maintainer to inject into sources places the code inside the anchored tree. Where the same credential compromise reaches the anchoring key, the vector falls under the named blind spot instead, which is also out of scope.",7
AV-701,Exploit Weak Configuration,5,AV-000 > AV-001 > AV-300 > AV-302 > AV-700 > AV-701,out-of-scope,pre-anchor,AV-302,"Acting as or impersonating a maintainer to inject into sources places the code inside the anchored tree. Where the same credential compromise reaches the anchoring key, the vector falls under the named blind spot instead, which is also out of scope.",4
AV-702,Exploit Vulnerabilities,5,AV-000 > AV-001 > AV-300 > AV-302 > AV-700 > AV-702,out-of-scope,pre-anchor,AV-302,"Acting as or impersonating a maintainer to inject into sources places the code inside the anchored tree. Where the same credential compromise reaches the anchoring key, the vector falls under the named blind spot instead, which is also out of scope.",27
AV-703,Infect through Malicious Component,5,AV-000 > AV-001 > AV-300 > AV-302 > AV-700 > AV-703,out-of-scope,pre-anchor,AV-302,"Acting as or impersonating a maintainer to inject into sources places the code inside the anchored tree. Where the same credential compromise reaches the anchoring key, the vector falls under the named blind spot instead, which is also out of scope.",10
AV-303,Tamper with Version Control System,3,AV-000 > AV-001 > AV-300 > AV-303,detectable,post-anchor-vcs,AV-303,"Tampering with the version control system after an anchor exists is what re-verification catches: a force-moved tag or rewritten history no longer matches the anchored tree hash. Demonstrated on three live networks in tag-retargeting.md. Tampering before the tag is anchored is out of scope, so this node is split by timing rather than by child.",0
AV-600,Compromise User (Project Maintainer/Administrator),4,AV-000 > AV-001 > AV-300 > AV-303 > AV-600,detectable,post-anchor-vcs,AV-303,"Tampering with the version control system after an anchor exists is what re-verification catches: a force-moved tag or rewritten history no longer matches the anchored tree hash. Demonstrated on three live networks in tag-retargeting.md. Tampering before the tag is anchored is out of scope, so this node is split by timing rather than by child.",0
AV-601,Bribe or Blackmail Legitimate User,5,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-601,detectable,post-anchor-vcs,AV-303,"Tampering with the version control system after an anchor exists is what re-verification catches: a force-moved tag or rewritten history no longer matches the anchored tree hash. Demonstrated on three live networks in tag-retargeting.md. Tampering before the tag is anchored is out of scope, so this node is split by timing rather than by child.",1
AV-602,Take-over Legitimate Account,5,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-602,detectable,post-anchor-vcs,AV-303,"Tampering with the version control system after an anchor exists is what re-verification catches: a force-moved tag or rewritten history no longer matches the anchored tree hash. Demonstrated on three live networks in tag-retargeting.md. Tampering before the tag is anchored is out of scope, so this node is split by timing rather than by child.",10
AV-603,Reuse of Compromised Credentials,6,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-602 > AV-603,detectable,post-anchor-vcs,AV-303,"Tampering with the version control system after an anchor exists is what re-verification catches: a force-moved tag or rewritten history no longer matches the anchored tree hash. Demonstrated on three live networks in tag-retargeting.md. Tampering before the tag is anchored is out of scope, so this node is split by timing rather than by child.",20
AV-604,Bruteforce,6,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-602 > AV-604,detectable,post-anchor-vcs,AV-303,"Tampering with the version control system after an anchor exists is what re-verification catches: a force-moved tag or rewritten history no longer matches the anchored tree hash. Demonstrated on three live networks in tag-retargeting.md. Tampering before the tag is anchored is out of scope, so this node is split by timing rather than by child.",4
AV-605,Reuse of Leaked API Tokens,6,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-602 > AV-605,detectable,post-anchor-vcs,AV-303,"Tampering with the version control system after an anchor exists is what re-verification catches: a force-moved tag or rewritten history no longer matches the anchored tree hash. Demonstrated on three live networks in tag-retargeting.md. Tampering before the tag is anchored is out of scope, so this node is split by timing rather than by child.",5
AV-606,Social Engineering to Obtain Credentials,6,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-602 > AV-606,detectable,post-anchor-vcs,AV-303,"Tampering with the version control system after an anchor exists is what re-verification catches: a force-moved tag or rewritten history no longer matches the anchored tree hash. Demonstrated on three live networks in tag-retargeting.md. Tampering before the tag is anchored is out of scope, so this node is split by timing rather than by child.",1
AV-607,Reuse of Existing Session,6,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-602 > AV-607,detectable,post-anchor-vcs,AV-303,"Tampering with the version control system after an anchor exists is what re-verification catches: a force-moved tag or rewritten history no longer matches the anchored tree hash. Demonstrated on three live networks in tag-retargeting.md. Tampering before the tag is anchored is out of scope, so this node is split by timing rather than by child.",3
AV-608,Resurrect Expired Domain Associated With Legitimate Account,6,AV-000 > AV-001 > AV-300 > AV-303 > AV-600 > AV-602 > AV-608,detectable,post-anchor-vcs,AV-303,"Tampering with the version control system after an anchor exists is what re-verification catches: a force-moved tag or rewritten history no longer matches the anchored tree hash. Demonstrated on three live networks in tag-retargeting.md. Tampering before the tag is anchored is out of scope, so this node is split by timing rather than by child.",3
AV-700,Compromise Version Control System,4,AV-000 > AV-001 > AV-300 > AV-303 > AV-700,detectable,post-anchor-vcs,AV-303,"Tampering with the version control system after an anchor exists is what re-verification catches: a force-moved tag or rewritten history no longer matches the anchored tree hash. Demonstrated on three live networks in tag-retargeting.md. Tampering before the tag is anchored is out of scope, so this node is split by timing rather than by child.",7
AV-701,Exploit Weak Configuration,5,AV-000 > AV-001 > AV-300 > AV-303 > AV-700 > AV-701,detectable,post-anchor-vcs,AV-303,"Tampering with the version control system after an anchor exists is what re-verification catches: a force-moved tag or rewritten history no longer matches the anchored tree hash. Demonstrated on three live networks in tag-retargeting.md. Tampering before the tag is anchored is out of scope, so this node is split by timing rather than by child.",4
AV-702,Exploit Vulnerabilities,5,AV-000 > AV-001 > AV-300 > AV-303 > AV-700 > AV-702,detectable,post-anchor-vcs,AV-303,"Tampering with the version control system after an anchor exists is what re-verification catches: a force-moved tag or rewritten history no longer matches the anchored tree hash. Demonstrated on three live networks in tag-retargeting.md. Tampering before the tag is anchored is out of scope, so this node is split by timing rather than by child.",27
AV-703,Infect through Malicious Component,5,AV-000 > AV-001 > AV-300 > AV-303 > AV-700 > AV-703,detectable,post-anchor-vcs,AV-303,"Tampering with the version control system after an anchor exists is what re-verification catches: a force-moved tag or rewritten history no longer matches the anchored tree hash. Demonstrated on three live networks in tag-retargeting.md. Tampering before the tag is anchored is out of scope, so this node is split by timing rather than by child.",10
AV-400,Inject During the Build of Legitimate Package,2,AV-000 > AV-001 > AV-400,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",10
AV-401,Run Malicious Build,3,AV-000 > AV-001 > AV-400 > AV-401,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",10
AV-402,Tamper Build Job as Maintainer,3,AV-000 > AV-001 > AV-400 > AV-402,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",5
AV-601,Bribe or Blackmail Legitimate User,4,AV-000 > AV-001 > AV-400 > AV-402 > AV-601,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",1
AV-602,Take-over Legitimate Account,4,AV-000 > AV-001 > AV-400 > AV-402 > AV-602,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",10
AV-603,Reuse of Compromised Credentials,5,AV-000 > AV-001 > AV-400 > AV-402 > AV-602 > AV-603,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",20
AV-604,Bruteforce,5,AV-000 > AV-001 > AV-400 > AV-402 > AV-602 > AV-604,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",4
AV-605,Reuse of Leaked API Tokens,5,AV-000 > AV-001 > AV-400 > AV-402 > AV-602 > AV-605,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",5
AV-606,Social Engineering to Obtain Credentials,5,AV-000 > AV-001 > AV-400 > AV-402 > AV-602 > AV-606,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",1
AV-607,Reuse of Existing Session,5,AV-000 > AV-001 > AV-400 > AV-402 > AV-602 > AV-607,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",3
AV-608,Resurrect Expired Domain Associated With Legitimate Account,5,AV-000 > AV-001 > AV-400 > AV-402 > AV-602 > AV-608,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",3
AV-800,Become a Maintainer,4,AV-000 > AV-001 > AV-400 > AV-402 > AV-800,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",9
AV-801,Change Ethos,4,AV-000 > AV-001 > AV-400 > AV-402 > AV-801,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",3
AV-700,Compromise Maintainer System,4,AV-000 > AV-001 > AV-400 > AV-402 > AV-700,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",7
AV-701,Exploit Weak Configuration,5,AV-000 > AV-001 > AV-400 > AV-402 > AV-700 > AV-701,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",4
AV-702,Exploit Vulnerabilities,5,AV-000 > AV-001 > AV-400 > AV-402 > AV-700 > AV-702,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",27
AV-703,Infect through Malicious Component,5,AV-000 > AV-001 > AV-400 > AV-402 > AV-700 > AV-703,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",10
AV-403,Tamper with Exposed Build System,3,AV-000 > AV-001 > AV-400 > AV-403,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",3
AV-600,Compromise User (Project Maintainer/Administrator),4,AV-000 > AV-001 > AV-400 > AV-403 > AV-600,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",0
AV-601,Bribe or Blackmail Legitimate User,5,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-601,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",1
AV-602,Take-over Legitimate Account,5,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-602,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",10
AV-603,Reuse of Compromised Credentials,6,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-602 > AV-603,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",20
AV-604,Bruteforce,6,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-602 > AV-604,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",4
AV-605,Reuse of Leaked API Tokens,6,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-602 > AV-605,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",5
AV-606,Social Engineering to Obtain Credentials,6,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-602 > AV-606,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",1
AV-607,Reuse of Existing Session,6,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-602 > AV-607,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",3
AV-608,Resurrect Expired Domain Associated With Legitimate Account,6,AV-000 > AV-001 > AV-400 > AV-403 > AV-600 > AV-602 > AV-608,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",3
AV-700,Compromise Build System,4,AV-000 > AV-001 > AV-400 > AV-403 > AV-700,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",7
AV-701,Exploit Weak Configuration,5,AV-000 > AV-001 > AV-400 > AV-403 > AV-700 > AV-701,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",4
AV-702,Exploit Vulnerabilities,5,AV-000 > AV-001 > AV-400 > AV-403 > AV-700 > AV-702,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",27
AV-703,Infect through Malicious Component,5,AV-000 > AV-001 > AV-400 > AV-403 > AV-700 > AV-703,detectable-conditional,build-stage,AV-400,"Detection depends on the artifact type, which the taxonomy does not model. A build that alters a source-level distributed artifact produces a mismatch against the anchored tree, the XZ Utils case. A build that alters only a compiled binary produces no mismatch, the SolarWinds case, and needs reproducible builds or build attestation, both out of scope.",10
AV-500,Distribute Malicious Version of Legitimate Package,2,AV-000 > AV-001 > AV-500,internal,structural,,"Category node; its children do not share one answer, so the rubric descends.",26
AV-501,Dangling Reference,3,AV-000 > AV-001 > AV-500 > AV-501,out-of-scope,no-counterpart,AV-501,Claiming an unclaimed or removed reference supplies a package that was never anchored by the legitimate project.,10
AV-502,Mask Legitimate Package,3,AV-000 > AV-001 > AV-500 > AV-502,detectable,artifact-mismatch,AV-502,"Interception, DNS poisoning, URL tampering and resolution abuse all deliver an artifact that differs from the anchored tree. Detection requires the consumer to verify against the intended project identifier.",1
AV-506,MITM Attack,4,AV-000 > AV-001 > AV-500 > AV-502 > AV-506,detectable,artifact-mismatch,AV-502,"Interception, DNS poisoning, URL tampering and resolution abuse all deliver an artifact that differs from the anchored tree. Detection requires the consumer to verify against the intended project identifier.",3
AV-507,DNS Cache Poisoning,4,AV-000 > AV-001 > AV-500 > AV-502 > AV-507,detectable,artifact-mismatch,AV-502,"Interception, DNS poisoning, URL tampering and resolution abuse all deliver an artifact that differs from the anchored tree. Detection requires the consumer to verify against the intended project identifier.",1
AV-508,Tamper Legitimate URL,4,AV-000 > AV-001 > AV-500 > AV-502 > AV-508,detectable,artifact-mismatch,AV-502,"Interception, DNS poisoning, URL tampering and resolution abuse all deliver an artifact that differs from the anchored tree. Detection requires the consumer to verify against the intended project identifier.",2
